Task," ",Date,LINK,Task Type
OCR 3,Yes,"April 9, 2026",https://docs.google.com/document/d/1hw0_V6tqAglx8IO05O0JVDkb66c5AlMLwbphmI5mEGY/edit?usp=sharing,"Chore, Work"
BE- Provide Currency Conversion Support for Dashboard Total Cost,Yes,"April 7, 2026",https://chat360-jira.atlassian.net/browse/AA-420,Development
Create PRs for Prod,Yes,"April 9, 2026",,"Chore, Work"
Agentic Cache Issue,Yes,"April 13, 2026 → April 17, 2026",https://chat360-jira.atlassian.net/browse/AA-172,Development
AI Assistant Dashboard Metrics API,Yes,"April 15, 2026 → April 16, 2026",https://chat360-jira.atlassian.net/browse/AA-424,Development
Prod Issue,Yes,"April 10, 2026",https://chat360-jira.atlassian.net/browse/AA-363,Issue
Tool Trace 2,Yes,"April 13, 2026 → April 14, 2026",https://chat360-jira.atlassian.net/browse/AA-422,Development
OCR 4,Yes,"April 20, 2026 → April 21, 2026",https://chat360-jira.atlassian.net/browse/AA-115,Development
Global Variable,Yes,"April 16, 2026 → April 17, 2026",https://chat360-jira.atlassian.net/browse/AA-452,Development
Integration API,Yes,"April 14, 2026 → April 15, 2026",https://chat360-jira.atlassian.net/browse/AA-446,Development
Currency Conversion,Yes,"April 15, 2026 → April 16, 2026",https://chat360-jira.atlassian.net/browse/AA-420,Development
Prod Issue,Yes,"April 16, 2026",https://chat360-jira.atlassian.net/browse/AA-172,Issue
AI Assistant Dashboard Metrics API 2,Yes,"April 17, 2026 → April 17, 2026",https://chat360-jira.atlassian.net/browse/AA-424,Issue
Prod PR,Yes,"May 5, 2026 → May 7, 2026",,"Chore, Work"
GPT Setup,Yes,"April 18, 2026",OpenWebUI,Personal
Enable Status for Delete - 1,Yes,"April 21, 2026 → April 22, 2026",https://chat360-jira.atlassian.net/browse/AA-463,Development
Intgration API,Yes,"April 20, 2026",https://chat360-jira.atlassian.net/browse/AA-446,Development
Update Metric for 3rd Card,Yes,"April 22, 2026",https://chat360-jira.atlassian.net/browse/AA-466,Development
Campaign Automation - 1 - 1,Yes,"April 23, 2026 → April 24, 2026",https://chat360-jira.atlassian.net/browse/AA-478,Development
OCR - 5,Yes,"May 4, 2026 → May 5, 2026",https://chat360-jira.atlassian.net/browse/AA-115,Issue
Campaign Automation - 2,Yes,"April 27, 2026 → April 29, 2026",https://chat360-jira.atlassian.net/browse/AA-478,Development
Semantic Sheet Upload,Yes,"May 4, 2026 → May 5, 2026",https://chat360-jira.atlassian.net/browse/AA-470,Issue
Campaigns API Fix,Yes,"May 6, 2026 → May 7, 2026",https://chat360-jira.atlassian.net/browse/AA-478,Issue
"
Add a retry/filter to fix wrong status code in fallback",Yes,"May 6, 2026 → May 8, 2026",https://chat360-jira.atlassian.net/browse/AA-496,"Development, Issue"
Set up Backend Repo,Yes,"May 11, 2026",,Chore
Move Pinecone to Qdrant - 1,Yes,"May 12, 2026 → May 12, 2026",https://chat360-jira.atlassian.net/browse/AA-508,Development
[Stage] Assistant Preview Displays Image URLs Instead of Rendering Images - 1,Yes,"May 12, 2026 → May 12, 2026",https://chat360-jira.atlassian.net/browse/AA-504,Issue
Global vars - 2,Yes,"May 13, 2026",https://chat360-jira.atlassian.net/browse/AA-452,Issue
Move Pinecone to Qdrant - 2,No,"May 14, 2026",,
Wfh,Yes,"May 13, 2026",,Personal
